Country,sex,age,data,start_year,end_year,rsq,period
Canada,female,110,"<df[,2]>",1975,2018,NA,1975 onwards
Canada,female,110,"<df[,2]>",1991,2018,0.003450306100031152,1991 onwards
Canada,male,0,"<df[,2]>",1975,1990,0.9675410790798357,1975-1990
Canada,male,0,"<df[,2]>",1975,2018,0.8855452655108794,1975 onwards
Canada,male,0,"<df[,2]>",1991,2018,0.843367385626356,1991 onwards
Canada,male,1,"<df[,2]>",1975,1990,0.7973973696885808,1975-1990
Canada,male,1,"<df[,2]>",1975,2018,0.8795632481064956,1975 onwards
Canada,male,1,"<df[,2]>",1991,2018,0.5877264834472722,1991 onwards
Canada,male,2,"<df[,2]>",1975,1990,0.7774210368567288,1975-1990
Canada,male,2,"<df[,2]>",1975,2018,0.907686128027172,1975 onwards
Canada,male,2,"<df[,2]>",1991,2018,0.6982564493742066,1991 onwards
Canada,male,3,"<df[,2]>",1975,1990,0.9127688543564749,1975-1990
Canada,male,3,"<df[,2]>",1975,2018,0.923252095591172,1975 onwards
Canada,male,3,"<df[,2]>",1991,2018,0.7341644676783029,1991 onwards
Canada,male,4,"<df[,2]>",1975,1990,0.7590331119725496,1975-1990
Canada,male,4,"<df[,2]>",1975,2018,0.8583983458991097,1975 onwards
Canada,male,4,"<df[,2]>",1991,2018,0.5316611758167674,1991 onwards
Canada,male,5,"<df[,2]>",1975,1990,0.8199970388858202,1975-1990
Canada,male,5,"<df[,2]>",1975,2018,0.8842898182022522,1975 onwards
Canada,male,5,"<df[,2]>",1991,2018,0.6702344874571594,1991 onwards
Canada,male,6,"<df[,2]>",1975,1990,0.7908451009234957,1975-1990
Canada,male,6,"<df[,2]>",1975,2018,0.8568278608110311,1975 onwards
Canada,male,6,"<df[,2]>",1991,2018,0.5179980548256251,1991 onwards
Canada,male,7,"<df[,2]>",1975,1990,0.798167262531584,1975-1990
Canada,male,7,"<df[,2]>",1975,2018,0.8424690448898539,1975 onwards
Canada,male,7,"<df[,2]>",1991,2018,0.5335966576394379,1991 onwards
Canada,male,8,"<df[,2]>",1975,1990,0.8056362710955268,1975-1990
Canada,male,8,"<df[,2]>",1975,2018,0.8984031398089397,1975 onwards
Canada,male,8,"<df[,2]>",1991,2018,0.6949581580714475,1991 onwards
